x,y,z,t,c,intensity
38.4161,52.8636,2.3374,1,1,65535.0000
73.6420,81.7697,18.5304,1,1,65525.7578
84.0277,64.2776,19.9081,1,1,65534.1953
30.5943,86.3642,23.6920,1,1,63081.1211
70.1971,59.9810,24.4066,1,1,65534.9961
43.7170,89.1880,21.9438,1,1,63273.2734
88.7996,99.7893,16.4669,1,1,65533.6758
91.2816,96.6821,11.8266,1,1,65530.9570
79.5476,90.6494,17.0739,1,1,65291.5117
24.1687,92.7113,25.2364,1,1,62836.5352
49.8671,94.7323,21.9630,1,1,63525.4883
97.8896,93.8902,8.1376,1,1,65533.9063
142.0829,67.4748,7.0113,1,1,57466.6250
159.8831,69.4667,3.7099,1,1,45648.3789
129.9710,59.2387,14.4738,1,1,58485.3555
112.6273,47.0053,25.8539,1,1,65511.3125
150.1773,47.9427,19.0386,1,1,63967.9453
120.4407,70.9180,14.5935,1,1,65533.9141
147.6991,75.5959,3.9778,1,1,55838.0391
153.1741,93.7022,3.5877,1,1,65359.5547
125.3171,77.3498,9.8493,1,1,49105.8281
116.7510,83.7843,9.8699,1,1,58963.2930
117.0079,91.9497,9.9067,1,1,64535.1992
124.5986,100.3101,10.5809,1,1,53793.8164
21.9433,100.1688,26.9803,1,1,62982.1094
49.5940,39.1315,52.2764,1,1,55968.3008
81.5689,41.4700,36.2167,1,1,65496.2695
49.8880,35.8215,70.5278,1,1,65507.0508
25.7342,41.8473,86.8273,1,1,65534.7500
41.0250,37.3692,78.9789,1,1,65534.8438
73.5075,45.5418,98.4133,1,1,37539.5195
45.4943,63.5020,27.1968,1,1,64720.8008
81.1041,47.3246,30.2807,1,1,64334.4219
80.4329,47.8140,95.7350,1,1,41396.8828
28.1305,99.1425,131.2170,1,1,61992.1016
45.9235,83.6051,123.9170,1,1,17726.2617
78.4404,74.4098,113.1711,1,1,33619.3867
81.5778,36.6026,71.1631,1,1,50108.7148
116.0663,35.6491,65.2025,1,1,64994.5234
131.1170,35.9193,37.9378,1,1,65535.0000
97.8193,34.6434,66.9776,1,1,48412.9922
137.9059,34.8101,84.9024,1,1,46082.5039
154.3813,18.2449,83.9299,1,1,65455.8438
102.5505,42.9390,83.0756,1,1,65400.5977
127.5419,43.5247,27.2558,1,1,58576.5898
148.7233,43.4570,73.4589,1,1,57341.6992
159.5815,47.4856,76.4043,1,1,55118.2188
