x,y,z,t,c,intensity
48.6984,37.4298,1.2104,1,1,65534.7969
101.1454,47.5499,19.6123,1,1,65531.8984
86.3229,42.6076,22.5383,1,1,65535.0000
62.3199,46.3404,27.2697,1,1,65511.1172
87.0147,41.7697,24.0555,1,1,65533.9297
90.7487,66.7406,18.4315,1,1,65527.4648
96.6835,75.8902,14.8751,1,1,65444.5781
97.3254,89.1351,18.7004,1,1,61023.5508
66.9869,80.2420,22.8448,1,1,64031.7188
41.6776,77.8848,26.6411,1,1,64910.9375
48.0114,71.5350,25.1855,1,1,64558.0352
60.8542,74.5128,23.5370,1,1,65393.1289
105.9231,86.8329,17.7589,1,1,65534.9961
157.3301,58.9812,4.5815,1,1,59779.8867
159.2588,52.1087,5.7332,1,1,64463.5391
136.4561,55.7531,8.3748,1,1,65531.7656
129.1139,27.7285,24.5504,1,1,65120.1250
144.1827,23.6602,26.2973,1,1,60659.5508
147.2795,43.5807,10.0702,1,1,65472.7617
142.4572,63.0069,6.4695,1,1,57810.3242
133.6182,69.4310,7.8410,1,1,60603.0859
153.2591,88.3520,7.0582,1,1,60827.5898
141.5600,87.4317,7.9060,1,1,63234.3867
107.4392,83.5783,9.3914,1,1,65531.2734
114.5129,80.8307,8.1339,1,1,65523.1094
134.1808,77.5291,7.9391,1,1,59958.6172
38.8118,86.3768,27.7276,1,1,64654.4297
57.9832,8.0392,78.2474,1,1,64853.7109
66.4286,14.9857,51.0143,1,1,59227.8008
42.6112,9.3826,87.4569,1,1,58606.0430
5.7672,24.2955,118.7513,1,1,17283.9746
11.7261,34.7050,122.1604,1,1,20282.6055
58.4347,58.5859,124.8122,1,1,17849.3828
18.1229,58.7858,30.8743,1,1,63649.1563
27.1170,92.7170,30.9783,1,1,65265.7422
9.0878,79.6934,31.0276,1,1,64731.8672
6.2258,91.8119,33.0202,1,1,63715.5820
19.0076,74.6642,131.7044,1,1,25160.0508
42.2963,74.1029,129.0835,1,1,53297.4336
67.1022,8.7240,69.3501,1,1,65534.1445
133.0030,8.1106,59.9981,1,1,60330.4023
147.6930,14.6368,35.6918,1,1,65516.9375
114.4802,7.7573,64.1571,1,1,36928.3320
98.4195,7.8382,70.5301,1,1,39707.9883
120.0673,13.5868,84.2264,1,1,61614.1445
155.0956,6.7313,84.8154,1,1,23470.1855
90.2933,14.9942,101.4210,1,1,21809.7109
97.8160,28.2291,28.7853,1,1,65181.8320
98.3666,22.1102,34.7515,1,1,65531.6094
98.1188,17.2021,98.9632,1,1,26907.6953
103.4901,50.2811,115.8592,1,1,34924.6133
108.4605,66.1345,115.0723,1,1,16144.4102
137.2252,69.3989,107.2843,1,1,10901.8750
91.2640,94.7441,21.6647,1,1,60809.9023
56.9845,107.1350,32.1699,1,1,65532.8789
58.4439,100.5275,28.4876,1,1,64240.9688
56.3624,109.1055,32.7292,1,1,65535.0039
8.9110,102.7349,35.8263,1,1,63635.8750
34.2353,110.4527,35.3250,1,1,59975.9609
